Name,AvgDuration(ms),MinDuration(ms),MaxDuration(ms),StdDev(ms),Iterations,OpsPerSec,MemoryUsage(bytes),source_file
SimulationStepMicrosecondBenchmark,8e-08,0,0.004,1.78884e-05,50000,1.25e+10,1140850688,comprehensive_benchmark.csv
Vector3DMathBenchmark,4e-08,0,0.002,7.74586e-06,100000,2.5e+10,2231369728,comprehensive_benchmark.csv
GravitationalForceBenchmark,1e-06,0,0.009,8.26982e-05,25000,1e+09,3623878656,comprehensive_benchmark.csv
MemoryAllocationPatternBenchmark,0.002187,0.002,0.033,0.00157545,1000,457247,167772160,comprehensive_benchmark.csv
ComplexMathematicalOperationsBenchmark,0,0,0,0,10000,0,3976200192,comprehensive_benchmark.csv
LargeDatasetProcessingBenchmark,0.42607,0.401,0.622,0.0393256,100,2347.03,4211081216,comprehensive_benchmark.csv
BaselinePerformanceTest,0.003023,0.003,0.02,0.000542652,1000,330797,1090519040,regression_detection.csv
MemoryUsageStabilityTest,0.000995,0,0.004,0.000130288,1000,1.00503e+06,1157627904,regression_detection.csv
HTTPRequestProcessingBenchmark,0,0,0,0,1000,0,1090519040,web_server_benchmark.csv
JSONResponseGenerationBenchmark,0,0,0,0,1000,0,1124073472,web_server_benchmark.csv
WebGLDataSerializationBenchmark,0,0,0,0,1000,0,1124073472,web_server_benchmark.csv
CelestialBodyScalability_size_10,0.002,0.001,0.005,0.00154919,5,500000,6163655344,scalability_analysis.csv
CelestialBodyScalability_size_50,0.018,0.01,0.047,0.0145052,5,55555.6,6163655344,scalability_analysis.csv
CelestialBodyScalability_size_100,0.0352,0.034,0.037,0.000979796,5,28409.1,6163655344,scalability_analysis.csv
CelestialBodyScalability_size_500,0.7508,0.703,0.792,0.0321894,5,1331.91,6163655344,scalability_analysis.csv
CelestialBodyScalability_size_1000,2.9152,2.825,3.039,0.0710138,5,343.03,6163655344,scalability_analysis.csv
MemoryScalabilityTest_size_1000,0.004,0.002,0.008,0.00282843,3,250000,8411029472,scalability_analysis.csv
MemoryScalabilityTest_size_10000,0.0363333,0.022,0.064,0.0195675,3,27522.9,8411029472,scalability_analysis.csv
MemoryScalabilityTest_size_100000,0.525333,0.437,0.692,0.117922,3,1903.55,8411029472,scalability_analysis.csv
MemoryScalabilityTest_size_500000,3.789,2.863,5.195,1.01073,3,263.922,8411029472,scalability_analysis.csv
ConcurrentAccessBenchmark,0.5456,0.415,0.607,0.0590003,10,1832.84,41389391872,scalability_analysis.csv
LongRunningSimulationStability,74.532,73.456,75.847,0.990643,3,13.4171,41724936192,scalability_analysis.csv
ParallelComputationScalability_size_1,0.593,0.559,0.635,0.0243228,5,1686.34,8411029472,scalability_analysis.csv
ParallelComputationScalability_size_2,0.3268,0.318,0.338,0.00813388,5,3059.98,8411029472,scalability_analysis.csv
ParallelComputationScalability_size_4,0.226,0.208,0.247,0.0126016,5,4424.78,8411029472,scalability_analysis.csv
ParallelComputationScalability_size_8,0.2326,0.201,0.258,0.0192832,5,4299.23,8411029472,scalability_analysis.csv
ParallelComputationScalability_size_16,0.2412,0.227,0.271,0.0155743,5,4145.94,8411029472,scalability_analysis.csv
CachePerformanceUnderLoad,1.42126,1.177,1.75,0.118677,50,703.601,41792045056,scalability_analysis.csv
CacheLoadingPerformance,0.0149951,0.013,0.224,0.00561709,50000,66688.3,1124073472,core_performance_benchmark.csv
SimulationStepPerformance,9e-07,0,0.02,0.000118234,100000,1.11111e+09,2650800128,core_performance_benchmark.csv
MathematicalOperationsPerformance,6.7e-07,0,0.025,0.000103148,200000,1.49254e+09,4563402752,core_performance_benchmark.csv
MemoryAllocationPerformance,1.94e-05,0,0.02,0.000544999,5000,5.15464e+07,0,core_performance_benchmark.csv
BinaryCacheLoadingBenchmark,0.0151333,0.013,0.737,0.0123197,10000,66079.4,1174405120,jpl_data_benchmark.csv
JSONCacheLoadingBenchmark,0.05031,0.044,0.839,0.0407906,1000,19876.8,1795162112,jpl_data_benchmark.csv
SimulatedNetworkRequestBenchmark,103.679,100.08,105.057,1.97184,10,9.6452,1845493760,jpl_data_benchmark.csv
JPLResponseParsingBenchmark,0.0029288,0.002,1.079,0.0220491,5000,341437,1845493760,jpl_data_benchmark.csv
DataConversionBenchmark,1e-06,0,0.007,7.21041e-05,10000,1e+09,2097152000,jpl_data_benchmark.csv
