Name,AvgDuration(ms),MinDuration(ms),MaxDuration(ms),StdDev(ms),Iterations,OpsPerSec,MemoryUsage(bytes)
CelestialBodyScalability_size_10,0.002,0.001,0.005,0.00154919,5,500000,6163655344
CelestialBodyScalability_size_50,0.018,0.01,0.047,0.0145052,5,55555.6,6163655344
CelestialBodyScalability_size_100,0.0352,0.034,0.037,0.000979796,5,28409.1,6163655344
CelestialBodyScalability_size_500,0.7508,0.703,0.792,0.0321894,5,1331.91,6163655344
CelestialBodyScalability_size_1000,2.9152,2.825,3.039,0.0710138,5,343.03,6163655344
MemoryScalabilityTest_size_1000,0.004,0.002,0.008,0.00282843,3,250000,8411029472
MemoryScalabilityTest_size_10000,0.0363333,0.022,0.064,0.0195675,3,27522.9,8411029472
MemoryScalabilityTest_size_100000,0.525333,0.437,0.692,0.117922,3,1903.55,8411029472
MemoryScalabilityTest_size_500000,3.789,2.863,5.195,1.01073,3,263.922,8411029472
ConcurrentAccessBenchmark,0.5456,0.415,0.607,0.0590003,10,1832.84,41389391872
LongRunningSimulationStability,74.532,73.456,75.847,0.990643,3,13.4171,41724936192
ParallelComputationScalability_size_1,0.593,0.559,0.635,0.0243228,5,1686.34,8411029472
ParallelComputationScalability_size_2,0.3268,0.318,0.338,0.00813388,5,3059.98,8411029472
ParallelComputationScalability_size_4,0.226,0.208,0.247,0.0126016,5,4424.78,8411029472
ParallelComputationScalability_size_8,0.2326,0.201,0.258,0.0192832,5,4299.23,8411029472
ParallelComputationScalability_size_16,0.2412,0.227,0.271,0.0155743,5,4145.94,8411029472
CachePerformanceUnderLoad,1.42126,1.177,1.75,0.118677,50,703.601,41792045056
